N,D,loss
7.000000e+07,2.800000e+09,3.429156
7.000000e+07,5.600000e+09,3.271924
7.000000e+07,1.120000e+10,3.145179
1.500000e+08,3.000000e+09,3.220585
1.500000e+08,6.000000e+09,3.055273
1.500000e+08,1.200000e+10,2.936554
1.500000e+08,2.400000e+10,2.849030
3.000000e+08,3.000000e+09,3.080182
3.000000e+08,6.000000e+09,2.916333
3.000000e+08,1.200000e+10,2.782529
3.000000e+08,2.400000e+10,2.683804
3.000000e+08,4.800000e+10,2.609201
7.000000e+08,3.500000e+09,2.888675
7.000000e+08,7.000000e+09,2.741966
7.000000e+08,1.400000e+10,2.615853
7.000000e+08,2.800000e+10,2.524182
7.000000e+08,5.600000e+10,2.468548
7.000000e+08,1.120000e+11,2.393322
1.500000e+09,7.500000e+09,2.633892
1.500000e+09,1.500000e+10,2.526478
1.500000e+09,3.000000e+10,2.424474
1.500000e+09,6.000000e+10,2.355158
1.500000e+09,1.200000e+11,2.305581
1.500000e+09,2.400000e+11,2.277331
3.000000e+09,1.500000e+10,2.454705
3.000000e+09,3.000000e+10,2.350209
3.000000e+09,6.000000e+10,2.295578
3.000000e+09,1.200000e+11,2.255537
3.000000e+09,2.400000e+11,2.213932
3.000000e+09,4.800000e+11,2.178775
7.000000e+09,3.500000e+10,2.286962
7.000000e+09,7.000000e+10,2.208154
7.000000e+09,1.400000e+11,2.175836
7.000000e+09,2.800000e+11,2.133945
7.000000e+09,5.600000e+11,2.105902
7.000000e+09,1.120000e+12,2.094710
1.500000e+10,7.500000e+10,2.178433
1.500000e+10,1.500000e+11,2.130287
1.500000e+10,3.000000e+11,2.095056
1.500000e+10,6.000000e+11,2.058437
1.500000e+10,1.200000e+12,2.032299
1.500000e+10,2.400000e+12,2.014033
3.000000e+10,1.500000e+11,2.104675
3.000000e+10,3.000000e+11,2.064448
3.000000e+10,6.000000e+11,2.026872
3.000000e+10,1.200000e+12,2.017281
3.000000e+10,2.400000e+12,1.991744
3.000000e+10,4.800000e+12,1.965955
